x,y,Texture,PH,CEC,Nitrogen,Carbon,Temp,Rainfall,Slope,DEM,NDVI,LULC,LST,Suitability
36.57822172,-0.098797032,3,1,4,4,4,4,3,4,2,3,3,4,3
36.5696666,-0.086125954,3,1,4,4,4,4,3,4,2,3,1,4,2
36.58693891,-0.089994811,3,1,4,4,4,4,3,4,2,3,1,4,2
36.61444973,-0.084330639,3,1,4,4,4,4,4,4,2,3,3,3,3
36.56637676,-0.084927219,3,1,4,4,4,4,3,4,2,3,3,4,3
36.58861585,-0.08786688,3,1,4,4,4,4,3,4,2,3,1,4,2
36.67980994,-0.119257776,3,1,4,3,4,4,4,3,2,3,2,4,2
36.70003892,-0.131054411,2,1,2,4,3,4,4,3,2,3,3,4,2
36.74079879,-0.100240639,3,1,4,3,4,4,4,3,2,3,3,3,2
36.71330954,-0.114323485,2,1,4,4,4,4,4,4,2,3,3,3,3
36.68759488,-0.116760567,3,1,2,4,3,4,4,4,2,3,3,3,2
36.70432124,-0.115793063,3,1,4,3,4,4,4,3,2,3,1,4,2
36.72427933,-0.121586143,2,1,2,4,3,4,4,4,2,3,1,3,1
36.64723566,-0.129318737,4,3,4,4,4,4,4,4,2,4,2,4,4
36.66804571,-0.118782324,2,1,4,4,4,4,4,4,2,4,4,4,4
36.67596163,-0.118915221,2,1,4,4,4,4,4,3,2,3,3,4,3
36.65528733,-0.144959858,2,1,4,4,4,4,4,4,2,3,3,4,3
36.70592868,-0.118840061,3,1,4,4,4,4,4,4,2,3,1,4,3
36.6465063,-0.112002685,4,3,4,4,4,4,4,4,2,3,1,3,3
36.70719681,-0.126422549,2,1,4,4,4,4,4,4,2,3,3,4,3
36.796307,-0.089117626,2,3,4,4,4,4,4,3,2,3,3,3,3
36.65066,-0.088073672,4,3,4,4,4,4,4,3,2,3,3,3,4
36.77599002,-0.089966541,2,3,4,4,4,4,4,3,2,3,4,3,3
36.65569401,-0.084441752,4,3,4,4,4,4,4,4,2,3,1,3,3
36.67993642,-0.095253522,2,1,4,4,4,4,4,3,2,3,4,3,3
36.74471402,-0.088664394,2,1,4,4,4,4,4,4,2,3,3,3,3
36.78666502,-0.084431408,2,3,4,4,4,4,4,3,2,3,3,3,3
36.67002613,-0.091499939,4,3,4,4,4,4,4,3,2,2,3,3,3
36.73113833,-0.083482286,2,1,4,4,4,4,4,2,3,3,2,3,2
36.86038962,-0.134196972,2,1,4,4,4,4,4,4,3,3,1,3,2
36.92590489,-0.165190691,2,3,4,4,4,4,3,4,3,3,2,4,3
36.93312781,-0.170042925,2,3,4,4,4,4,3,4,3,3,4,4,4
36.9513238,-0.23633116,2,3,4,4,4,4,3,4,3,3,3,3,3
36.95841756,-0.138139192,2,3,4,4,4,4,4,4,3,3,3,3,4
36.88811974,-0.141252079,2,3,4,4,4,4,4,4,3,3,2,4,4
36.89662321,-0.14022506,2,3,4,4,4,4,4,4,3,3,4,4,4
36.88389461,-0.135077535,2,1,4,4,4,4,4,4,3,4,2,4,3
36.94409419,-0.131485124,2,3,4,4,4,4,4,4,3,3,3,3,4
36.88157425,-0.1879676,2,3,4,4,4,4,4,3,3,3,4,4,4
36.83393841,-0.118874542,2,3,4,4,4,4,4,4,3,3,3,3,4
36.92052553,-0.195319186,2,3,4,4,4,4,3,4,3,3,2,4,3
36.96779618,-0.099125836,2,1,4,4,4,4,3,4,3,3,1,3,2
36.89525499,-0.208916144,2,3,4,4,4,4,3,4,3,3,2,4,3
36.90347718,-0.208510216,2,3,4,4,4,4,3,4,3,3,2,4,3
36.96242922,-0.252918548,2,3,4,4,4,4,3,4,3,3,3,3,3
36.96994085,-0.187884269,2,3,4,4,4,4,4,4,3,3,4,3,4
36.93046414,-0.09856733,3,1,4,3,4,4,3,4,3,3,3,3,3
36.95602956,-0.239415516,2,3,4,4,4,4,3,4,3,3,3,3,3
36.88040227,-0.207167653,2,3,4,4,4,4,3,4,3,3,4,4,4
36.95454079,-0.193407201,2,3,4,4,4,4,3,4,3,3,4,4,4
36.97421488,-0.240137568,2,3,4,4,4,4,3,4,3,3,3,3,3
36.96173777,-0.180076827,3,1,4,3,4,4,4,4,3,3,2,4,3
36.92944713,-0.201240998,2,3,4,4,4,4,3,4,3,3,2,4,3
36.85548013,-0.133637469,2,1,4,4,4,4,4,4,3,3,1,3,2
36.94656941,-0.176827966,3,1,4,3,4,4,3,3,3,3,2,4,2
36.86966904,-0.133797175,2,1,4,4,4,4,4,4,3,4,2,4,3
36.97171878,-0.147401984,2,3,4,4,4,4,3,4,3,3,4,4,4
36.93594526,-0.153886603,2,3,4,4,4,4,4,4,3,3,2,4,4
36.89266716,-0.175228756,2,3,4,4,4,4,4,4,3,3,2,4,4
36.97040865,-0.251897051,2,3,4,4,4,4,3,4,3,3,1,3,4
36.86042248,-0.125354228,2,3,4,4,4,4,4,4,3,3,4,3,4
36.95476155,-0.119117715,2,3,4,4,4,4,3,4,3,3,3,3,3
36.95146573,-0.165778568,3,1,4,3,4,4,3,4,3,3,2,4,3
36.8640995,-0.203950136,2,1,4,4,4,4,4,4,3,3,2,4,3
36.9259622,-0.26791776,2,3,4,4,4,4,3,4,3,3,1,3,3
36.98223231,-0.102277463,3,1,4,3,4,4,3,4,3,3,3,3,3
36.93592758,-0.196236362,3,1,4,3,4,4,3,4,3,3,4,4,3
36.91515843,-0.149611557,2,3,4,4,4,4,4,4,3,3,2,4,4
36.94002699,-0.207879225,3,1,4,3,4,4,3,4,3,3,4,4,3
36.81693303,-0.102164005,2,3,4,4,4,4,4,4,3,3,3,3,4
36.91741519,-0.218773578,2,3,4,4,4,4,3,4,3,3,2,4,3
36.88587984,-0.237535875,2,3,4,4,4,4,3,4,3,3,2,4,3
36.96967212,-0.194975745,2,3,4,4,4,4,4,4,3,3,4,3,4
36.94879177,-0.247928375,2,3,4,4,4,4,3,4,3,3,1,3,3
36.8879551,-0.223757582,2,3,4,4,4,4,3,4,3,3,4,4,4
36.87767367,-0.237594071,2,3,4,4,4,4,4,4,3,3,4,4,4
36.95757901,-0.130077603,2,3,4,4,4,4,4,4,3,3,3,3,4
36.92214629,-0.192955762,2,3,4,4,4,4,3,3,3,3,2,4,3
36.94462587,-0.115159175,2,3,4,4,4,4,3,4,3,3,1,3,3
36.91939634,-0.19443549,2,3,4,4,4,4,4,4,3,3,2,4,4
36.84960957,-0.099142832,2,3,4,4,4,4,4,3,3,3,3,3,3
36.96078641,-0.14636132,2,3,4,4,4,4,3,4,3,3,2,4,3
36.87535916,-0.121318425,2,3,4,4,4,4,4,4,3,3,4,3,4
36.89290389,-0.217721727,2,3,4,4,4,4,3,4,3,3,4,4,4
36.86812443,-0.105049529,2,3,4,4,4,4,4,4,3,3,1,3,3
36.94387623,-0.118589126,2,3,4,4,4,4,3,4,3,3,3,3,3
36.89407608,-0.156046075,2,3,4,4,4,4,4,4,3,3,2,4,4
36.85026779,-0.118241059,2,3,4,4,4,4,4,4,3,3,3,3,4
36.87784043,-0.156483162,2,3,4,4,4,4,4,4,3,3,2,4,4
36.84412494,-0.116895732,2,3,4,4,4,4,4,4,3,3,3,3,4
36.97817166,-0.238929891,2,3,4,4,4,4,3,3,3,3,3,3,3
36.93594393,-0.240400144,2,3,4,4,4,4,3,4,3,3,3,3,3
36.93438184,-0.1458046,2,3,4,4,4,4,4,4,3,3,4,4,4
36.94880891,-0.268077358,2,3,4,4,4,4,3,4,3,3,3,3,3
36.96782967,-0.250352911,2,3,4,4,4,4,3,4,3,3,1,3,3
36.97936462,-0.219147038,2,3,4,4,4,4,3,4,3,3,3,3,3
36.97507027,-0.098540026,3,1,4,3,4,4,3,4,3,3,3,3,3
36.91834996,-0.244231036,2,3,4,4,4,4,3,4,3,3,4,4,4
36.9569599,-0.203459105,2,3,4,4,4,4,3,4,3,3,4,3,4
36.93152389,-0.186137186,2,3,4,4,4,4,3,4,3,4,4,4,4
36.95193755,-0.209255073,2,3,4,4,4,4,3,4,3,3,4,3,4
36.88253488,-0.144793648,2,3,4,4,4,4,4,4,3,3,2,4,4
36.83331391,-0.106811361,3,1,4,3,4,4,4,4,3,3,3,3,3
36.9727497,-0.244439936,2,3,4,4,4,4,3,4,3,3,3,3,3
36.90748143,-0.189348255,2,3,4,4,4,4,4,4,3,3,4,4,4
36.94809969,-0.1808838,3,1,4,3,4,4,3,4,3,3,2,4,3
36.87410563,-0.205090126,2,3,4,4,4,4,4,4,3,3,2,4,4
36.88790758,-0.198662829,2,3,4,4,4,4,4,4,3,3,4,4,4
36.93871222,-0.141594805,2,3,4,4,4,4,4,3,3,3,4,3,4
36.97455203,-0.144338576,2,3,4,4,4,4,3,4,3,3,4,4,4
36.89903542,-0.186595948,2,3,4,4,4,4,4,4,3,3,4,3,4
36.95111014,-0.200778626,2,3,4,4,4,4,3,4,3,3,4,3,4
36.96309363,-0.267241544,2,3,4,4,4,4,3,4,3,3,3,3,3
36.91769274,-0.095945079,2,1,4,4,4,4,4,4,3,3,3,3,3
36.96543382,-0.087099211,3,1,4,3,4,4,3,4,3,3,3,3,3
36.94206455,-0.086530476,3,1,4,3,4,4,3,4,3,3,3,3,3
36.90078734,-0.091082054,2,3,4,4,4,4,4,4,3,2,3,3,3
36.85333484,-0.089264394,2,3,4,4,4,4,4,3,3,3,3,3,3
36.83252836,-0.089440164,3,1,4,3,4,4,4,4,3,3,3,3,3
36.86518501,-0.08748562,2,3,4,4,4,4,4,4,3,3,3,3,4
36.86918263,-0.088393801,2,3,4,4,4,4,4,4,3,3,2,3,3
36.86166229,-0.091850643,2,3,4,4,4,4,4,4,3,2,3,3,3
36.8650751,-0.087291878,2,3,4,4,4,4,4,4,3,3,3,3,4
36.80198512,-0.095516761,2,3,4,4,4,4,4,2,2,3,3,3,3
36.96689642,-0.084086732,3,1,4,3,4,4,3,4,3,3,1,3,2
37.00011805,-0.223096779,2,3,4,4,4,4,3,4,3,3,4,3,4
37.00028008,-0.193245863,2,3,4,4,4,4,3,3,3,3,3,3,3
36.99338099,-0.206124117,2,3,4,4,4,4,3,4,3,3,3,3,3
36.98810332,-0.24351045,2,3,4,4,4,4,3,4,3,3,3,3,3
37.01343475,-0.190553948,2,3,4,4,4,4,3,3,3,3,3,3,3
36.98474369,-0.206800621,2,3,4,4,4,4,3,4,3,3,3,3,3
36.99310041,-0.229792639,2,3,4,4,4,4,3,4,3,3,1,3,3
37.00396561,-0.216671483,2,3,4,4,4,4,3,3,3,3,3,3,3
37.01799197,-0.168243149,2,3,4,4,4,4,3,4,3,3,3,3,3
36.37749971,0.058786099,2,3,3,4,4,4,3,4,2,3,4,4,3
36.39351881,0.063284937,2,3,3,4,4,4,3,2,2,4,4,4,3
36.26902647,0.043168156,1,1,3,4,3,4,3,3,2,3,3,4,1
36.3454486,0.052438373,2,3,3,4,4,4,3,3,2,3,1,4,2
36.29234193,0.056930047,2,3,3,4,4,4,3,4,2,4,3,4,3
36.27096654,0.050641615,1,1,3,4,3,4,3,3,2,3,3,4,1
36.29407985,0.046569482,2,3,3,4,4,4,3,4,2,3,3,4,3
36.26699535,0.005229912,2,2,3,4,4,4,4,4,2,4,2,4,3
36.3230886,0.02977044,2,3,3,4,4,4,4,4,2,3,2,4,3
36.3611968,0.028214013,2,1,4,4,4,4,3,3,2,3,1,4,2
36.34699348,0.077150166,2,3,3,4,4,4,3,3,2,3,3,4,3
36.34355469,0.044970544,2,3,3,4,4,4,3,4,2,3,1,4,2
36.37418003,0.064123028,2,3,3,4,4,4,3,3,2,3,3,4,3
36.38736413,0.053161994,2,3,3,4,4,4,3,2,2,4,4,4,3
36.40907166,0.083805119,2,3,3,4,4,4,4,2,2,4,4,4,3
36.2920688,0.062815194,2,3,3,4,4,4,3,2,2,4,2,4,2
36.3263284,0.067346661,2,3,3,4,4,4,3,4,2,3,3,4,3
36.39568581,0.064383391,2,3,3,4,4,4,3,3,2,4,2,4,3
36.34755607,0.067523756,2,3,3,4,4,4,3,3,2,3,3,4,3
36.32502908,0.066127035,2,3,3,4,4,4,3,3,2,3,3,4,3
36.35400187,0.021752977,2,1,4,4,4,4,4,4,2,3,3,4,3
36.36820729,0.070289626,2,3,3,4,4,4,3,4,2,3,3,4,3
36.41559779,0.08573388,2,3,3,4,4,4,4,4,2,4,2,4,3
36.30458836,0.039174119,2,3,3,4,4,4,4,4,2,4,1,4,3
36.32561301,0.070475241,2,3,3,4,4,4,3,4,2,3,3,4,3
36.41905875,0.083126721,2,3,3,4,4,4,4,3,2,4,2,4,3
36.32074805,0.06447523,2,3,3,4,4,4,3,3,2,3,3,4,3
36.30035929,0.008553849,2,3,3,4,4,4,4,4,2,3,3,4,3
36.32290664,0.033405425,2,3,3,4,4,4,4,2,2,3,2,4,2
36.30018778,0.031771185,2,3,3,4,4,4,4,4,2,3,3,4,3
36.37515549,0.052788247,2,3,3,4,4,4,3,3,2,4,2,4,3
36.37704194,0.035094472,2,1,4,4,4,4,3,4,2,3,3,4,3
36.29054482,0.093407979,1,1,3,4,3,4,3,3,2,3,4,4,2
36.3112589,0.096249338,2,3,3,4,4,4,3,4,2,4,2,4,3
36.34990227,0.091577158,2,3,3,4,4,4,4,3,2,3,2,4,3
36.36688466,0.091571787,2,3,3,4,4,4,3,3,2,4,2,4,3
36.3740909,0.088775059,2,3,3,4,4,4,3,4,2,3,3,4,3
36.43233713,0.097514043,2,3,3,4,4,4,4,4,2,3,3,4,3
36.36474388,0.091746089,2,3,3,4,4,4,3,3,2,3,2,4,2
36.61461449,0.051006206,2,3,4,4,4,4,4,4,2,3,4,3,4
36.54055653,0.077013846,3,1,4,4,4,4,4,4,2,3,4,3,3
36.59321,0.08247226,3,1,4,4,4,4,4,3,3,3,3,3,3
36.58775632,-0.051966257,3,1,4,4,4,4,3,4,2,3,4,3,3
36.56412722,0.067175479,3,1,4,4,4,4,4,4,2,3,3,3,3
36.60680252,-0.025052439,3,1,4,4,4,4,4,4,2,3,3,3,3
36.55703098,-0.07001904,3,1,4,4,4,4,3,4,2,3,3,4,3
36.61273772,-0.039018357,3,1,4,4,4,4,4,4,2,3,3,3,3
36.60937602,0.006276247,3,1,4,4,4,4,4,4,2,3,3,3,3
36.51909269,0.076532207,3,1,4,4,4,4,4,3,2,3,3,3,3
36.58138878,-0.033706691,3,1,4,4,4,4,3,4,2,3,3,3,3
36.56024247,0.082803259,3,1,4,4,4,4,4,3,3,3,3,3,3
36.58108731,-0.074085634,3,1,4,4,4,4,3,4,2,2,1,4,2
36.54569146,0.086506333,3,1,4,4,4,4,4,3,2,3,4,3,3
36.57976172,-0.068704454,3,1,4,4,4,4,3,4,2,3,1,4,2
36.56717971,-0.068216366,3,1,4,4,4,4,3,4,2,3,3,4,3
36.57386897,-0.072508464,3,1,4,4,4,4,3,4,2,2,1,4,2
36.59398177,0.060985371,3,1,4,4,4,4,4,4,2,3,4,3,3
36.519673,0.072114156,3,1,4,4,4,4,4,4,2,3,3,3,3
36.58116297,0.082427528,3,1,4,4,4,4,4,4,3,3,3,3,3
36.53179759,0.068820547,3,1,4,4,4,4,4,3,2,3,4,3,3
36.59610981,-0.040631187,3,1,4,4,4,4,3,4,2,3,4,3,3
36.59237849,-0.035095823,3,1,4,4,4,4,3,3,2,3,4,3,3
36.57035986,-0.050699484,3,1,4,4,4,4,3,4,2,3,4,4,3
36.59930423,0.022173158,3,1,4,4,4,4,4,3,2,3,3,3,3
36.56263882,0.068418027,3,1,4,4,4,4,4,4,2,2,3,3,3
36.55010081,0.069653445,3,1,4,4,4,4,4,4,2,3,3,3,3
36.568608,-0.055565369,3,1,4,4,4,4,3,4,2,3,3,4,3
36.57060867,-0.060095901,3,1,4,4,4,4,3,3,2,3,3,4,3
36.59838847,-0.029581186,3,1,4,4,4,4,3,4,2,3,4,3,3
36.60215049,0.04831581,3,1,4,4,4,4,4,3,2,3,3,3,3
36.572153,-0.050628409,3,1,4,4,4,4,3,4,2,3,4,4,3
36.58291767,-0.082864685,3,1,4,4,4,4,3,4,2,3,3,4,3
36.61566874,0.071386173,2,3,4,4,4,4,4,3,3,2,4,2,3
